Département - commune;Département;Population sans doubles comptes 1999;Département - commune;Département;Population sans doubles comptes 1999
80520;Maucourt;152;;;
80521;Maurepas;215;;;
80522;Le Mazis;97;;;
80523;Méaulte;1 254;;;
80524;Méharicourt;538;;;
80525;Meigneux;151;;;
80526;Le Meillard;131;;;
80527;Méneslies;310;;;
80528;Méréaucourt;10;;;
80529;Mérélessart;184;;;
80530;Méricourt-l'Abbé;483;;;
80531;Méricourt-en-Vimeu;107;;;
80532;Méricourt-sur-Somme;164;;;
80533;Mers-les-Bains;3 394;;;
80535;Le Mesge;150;;;
80536;Mesnil-Bruntel;329;;;
80537;Mesnil-Domqueur;57;;;
80538;Mesnil-en-Arrouaise;124;;;
80540;Mesnil-Martinsart;233;;;
80541;Mesnil-Saint-Georges;147;;;
80542;Mesnil-Saint-Nicaise;517;;;
80543;Métigny;88;;;
80544;Mézerolles;165;;;
80545;Mézières-en-Santerre;493;;;
80546;Miannay;553;;;
80547;Millencourt;217;;;
80548;Millencourt-en-Ponthieu;328;;;
80549;Miraumont;655;;;
80550;Mirvaux;144;;;
80551;Misery;103;;;
80552;Moislains;1 366;;;
80553;Molliens-au-Bois;326;;;
80554;Molliens-Dreuil;830;;;
80555;Monchy-Lagache;740;;;
80556;Mons-Boubert;483;;;
80557;Estrées-Mons;609;;;
80558;Monsures;203;;;
80559;Montagne-Fayel;160;;;
80560;Montauban-de-Picardie;197;;;
80561;Montdidier;6 328;;;
80562;Montigny-sur-l'Hallue;197;;;
80563;Montigny-les-Jongleurs;82;;;
80565;Montonvillers;71;;;
80566;Fieffes-Montrelet;299;;;
80568;Morchain;248;;;
80569;Morcourt;268;;;
80570;Moreuil;4 106;;;
80571;Morisel;429;;;
80572;Morlancourt;318;;;
80573;Morvillers-Saint-Saturnin;360;;;
80574;Mouflers;83;;;
80575;Mouflières;71;;;
80576;Moyencourt;241;;;
80577;Moyencourt-lès-Poix;159;;;
80578;Moyenneville;626;;;
80579;Muille-Villette;785;;;
80580;Nampont;228;;;
80582;Namps-Maisnil;1 002;;;
80583;Nampty;205;;;
80584;Naours;1 124;;;
80585;Nesle;2 451;;;
80586;Nesle-l'Hôpital;158;;;
80587;Neslette;91;;;
80588;Neufmoulin;345;;;
80589;Neuilly-le-Dien;110;;;
80590;Neuilly-l'Hôpital;290;;;
80591;Neuville-au-Bois;183;;;
80592;Neuville-Coppegueule;535;;;
80593;La Neuville-lès-Bray;260;;;
80594;Neuville-lès-Loeuilly;102;;;
80595;La Neuville-Sire-Bernard;267;;;
